@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1057,'2019/09/26 10:01:08:630',8,-7896980,-7436426,-7239044,-7304321,-7435648,-7698301,-8027263,-8356225,-8882310,-9802639,-6976388,-6712956,-6712440,-6777717,-7040118,-7171700,-7500407,-7698296,-7895930,-7960432,-6449785,-6383476,-6579826,-6776177,-6973553,-7039600,-7237234,-7434612,-6711398,-6513755,-6251633,-6382704,-9802907,-13618897,-10132388,-8750989,-7500148,-7697784,-7631726,-8026224,-6251118,-8750221,-16250357,-15920359,-14541282,-13225937,-12501701,-12040892,-12105910,-11249055,-6316652,-8618634,-16382200,-15920617,-13948888,-12634059,-12107200,-11975612,-12435133,-11709348,-6317164,-6447978,-8421252,-10460834,-9277334,-8289923,-7434354,-8158592,-8947844,-8749946,-6580333,-6448491,-6579562,-6776683,-6908524,-7171439,-7171695,-7303538,-6448738,-6251353,-7237747,-6777966,-6646123,-6711659,-6908524,-7040366,-7171952,-7304050,-7567220,-6974563,-8027005,-7632503,-7435124,-7303539,-7303794,-7435379,-7632758,-7895929,-8422016,-9079430,1
1058,'2019/09/26 10:01:08:664',8,-7896980,-7436426,-7239044,-7304321,-7435648,-7698301,-8027263,-8356225,-8882310,-9802639,-6976388,-6712956,-6712440,-6777717,-7040118,-7171700,-7500407,-7698296,-7895930,-7960432,-6449785,-6383476,-6579826,-6776177,-6973553,-7039600,-7237234,-7434612,-6711398,-6513755,-6251633,-6382704,-9802907,-13618897,-10132388,-8750989,-7500148,-7697784,-7631726,-8026224,-6251118,-8750221,-16250357,-15920359,-14541282,-13225937,-12501701,-12040892,-12105910,-11249055,-6316652,-8618634,-16382200,-15920617,-13948888,-12634059,-12107200,-11975612,-12435133,-11709348,-6317164,-6447978,-8421252,-10460834,-9277334,-8289923,-7434354,-8158592,-8947844,-8749946,-6580333,-6448491,-6579562,-6776683,-6908524,-7171439,-7171695,-7303538,-6448738,-6251353,-7237747,-6777966,-6646123,-6711659,-6908524,-7040366,-7171952,-7304050,-7567220,-6974563,-8027005,-7632503,-7435124,-7303539,-7303794,-7435379,-7632758,-7895929,-8422016,-9079430,1
1059,'2019/09/26 10:01:08:696',8,-7896980,-7371146,-7239045,-7238784,-7501183,-7698301,-8092800,-8355970,-8882310,-9802638,-6976131,-6647421,-6646905,-6777461,-6974581,-7171701,-7500663,-7698296,-7895931,-7895152,-6449785,-6449013,-6579824,-6776177,-6908016,-7039600,-7237233,-7434869,-6711399,-6513755,-6317170,-6448240,-9802907,-13553104,-10001314,-8685452,-7500149,-7697784,-7500653,-7960688,-6251118,-8750477,-16315894,-15854824,-14606818,-13160400,-12501701,-12040891,-12040374,-11248798,-6251116,-8684427,-16447736,-15920361,-13883352,-12634059,-12107201,-11975357,-12435133,-11709349,-6317162,-6513514,-8487045,-10460834,-9277590,-8355715,-7499891,-8224128,-8948100,-8749947,-6580334,-6448491,-6579562,-6776683,-6974061,-7171439,-7171695,-7303537,-6448737,-6316888,-7172467,-6777966,-6711660,-6777195,-6842988,-6974829,-7171952,-7369586,-7567220,-6974563,-8027004,-7566966,-7435124,-7303539,-7303795,-7435381,-7632758,-7895929,-8422015,-9079686,1
1060,'2019/09/26 10:01:08:729',8,-7896980,-7371146,-7239045,-7238784,-7501183,-7698301,-8092800,-8355970,-8882310,-9802638,-6976131,-6647421,-6646905,-6777461,-6974581,-7171701,-7500663,-7698296,-7895931,-7895152,-6449785,-6449013,-6579824,-6776177,-6908016,-7039600,-7237233,-7434869,-6711399,-6513755,-6317170,-6448240,-9802907,-13553104,-10001314,-8685452,-7500149,-7697784,-7500653,-7960688,-6251118,-8750477,-16315894,-15854824,-14606818,-13160400,-12501701,-12040891,-12040374,-11248798,-6251116,-8684427,-16447736,-15920361,-13883352,-12634059,-12107201,-11975357,-12435133,-11709349,-6317162,-6513514,-8487045,-10460834,-9277590,-8355715,-7499891,-8224128,-8948100,-8749947,-6580334,-6448491,-6579562,-6776683,-6974061,-7171439,-7171695,-7303537,-6448737,-6316888,-7172467,-6777966,-6711660,-6777195,-6842988,-6974829,-7171952,-7369586,-7567220,-6974563,-8027004,-7566966,-7435124,-7303539,-7303795,-7435381,-7632758,-7895929,-8422015,-9079686,1
1061,'2019/09/26 10:01:08:763',8,-7831445,-7371146,-7239045,-7304321,-7501183,-7698302,-8092800,-8355969,-8816773,-9868174,-6910852,-6647420,-6646904,-6777461,-6974581,-7171701,-7500407,-7698296,-7895931,-7895152,-6449785,-6383477,-6579570,-6776431,-6973552,-7039856,-7237234,-7434613,-6711654,-6579034,-6251634,-6447984,-9671066,-13421518,-10001058,-8750732,-7434612,-7697784,-7500398,-7894896,-6251118,-8684429,-16316149,-15986152,-14541281,-13160399,-12435908,-11975100,-12040374,-11183262,-6316652,-8684426,-16447736,-15920617,-13948888,-12634315,-12172993,-11975612,-12435389,-11774886,-6316909,-6513514,-8552839,-10592419,-9343127,-8355972,-7499891,-8224384,-9013893,-8750204,-6580335,-6448490,-6579561,-6776683,-6974060,-7171438,-7171950,-7303538,-6448738,-6316889,-7237748,-6843246,-6711660,-6711659,-6908524,-7040367,-7172207,-7304050,-7567221,-6974564,-8027004,-7632503,-7435125,-7303794,-7303795,-7435380,-7632758,-7895929,-8422016,-9079686,1
1062,'2019/09/26 10:01:08:796',8,-7896980,-7371145,-7239044,-7304320,-7501183,-7698300,-8027264,-8356226,-8882309,-9867918,-6976387,-6647419,-6712440,-6777461,-7040117,-7171700,-7500662,-7632761,-7895931,-7895151,-6449785,-6449012,-6579570,-6776432,-6908016,-7039855,-7237234,-7434869,-6711399,-6513755,-6251633,-6448239,-9605528,-13289933,-9935264,-8684940,-7499892,-7697783,-7500397,-7960432,-6251117,-8684683,-16316149,-15986152,-14541282,-13160400,-12435908,-11975100,-12040117,-11183006,-6316652,-8684427,-16447480,-15854824,-13948889,-12634315,-12172993,-11975612,-12435389,-11709350,-6317163,-6447978,-8618631,-10592675,-9408918,-8421508,-7434610,-8224385,-9013893,-8815739,-6580589,-6448490,-6579562,-6776682,-6974061,-7171694,-7171695,-7303539,-6514274,-6316888,-7172467,-6777965,-6646124,-6777195,-6842989,-7040366,-7172207,-7304050,-7501684,-6909026,-8027003,-7566966,-7369587,-7238257,-7369331,-7435380,-7632758,-7895930,-8422016,-9144968,1
1063,'2019/09/26 10:01:08:830',8,-7896980,-7371145,-7239044,-7304320,-7501183,-7698300,-8027264,-8356226,-8882309,-9867918,-6976387,-6647419,-6712440,-6777461,-7040117,-7171700,-7500662,-7632761,-7895931,-7895151,-6449785,-6449012,-6579570,-6776432,-6908016,-7039855,-7237234,-7434869,-6711399,-6513755,-6251633,-6448239,-9605528,-13289933,-9935264,-8684940,-7499892,-7697783,-7500397,-7960432,-6251117,-8684683,-16316149,-15986152,-14541282,-13160400,-12435908,-11975100,-12040117,-11183006,-6316652,-8684427,-16447480,-15854824,-13948889,-12634315,-12172993,-11975612,-12435389,-11709350,-6317163,-6447978,-8618631,-10592675,-9408918,-8421508,-7434610,-8224385,-9013893,-8815739,-6580589,-6448490,-6579562,-6776682,-6974061,-7171694,-7171695,-7303539,-6514274,-6316888,-7172467,-6777965,-6646124,-6777195,-6842989,-7040366,-7172207,-7304050,-7501684,-6909026,-8027003,-7566966,-7369587,-7238257,-7369331,-7435380,-7632758,-7895930,-8422016,-9144968,1
1064,'2019/09/26 10:01:08:864',8,-7831444,-7436681,-7239044,-7304320,-7501184,-7698301,-8027263,-8356225,-8816773,-9802382,-6976388,-6712955,-6712440,-6777461,-7040116,-7171700,-7500662,-7698296,-7961466,-7895151,-6449786,-6383477,-6579569,-6776176,-6908016,-7039600,-7237489,-7434613,-6646117,-6513755,-6251633,-6448240,-9539736,-13224139,-9869471,-8619147,-7434356,-7697784,-7434604,-7894638,-6251118,-8684428,-16381686,-15920360,-14541025,-13160144,-12370372,-11909563,-11974580,-11117468,-6251116,-8750475,-16447480,-15854826,-13948889,-12634315,-12172994,-11975358,-12435389,-11709350,-6317163,-6513514,-8749961,-10723749,-9409176,-8421509,-7500147,-8224385,-9079686,-8815740,-6580334,-6448490,-6579562,-6776683,-6974060,-7171439,-7171695,-7303538,-6514274,-6316889,-7172211,-6777966,-6646124,-6711659,-6843244,-7040366,-7172207,-7304050,-7567220,-6974563,-8027004,-7566966,-7435123,-7238258,-7303795,-7435380,-7632758,-7895930,-8422016,-9079430,1
1065,'2019/09/26 10:01:08:897',8,-7831444,-7436681,-7239044,-7304320,-7501184,-7698301,-8027263,-8356225,-8816773,-9802382,-6976388,-6712955,-6712440,-6777461,-7040116,-7171700,-7500662,-7698296,-7961466,-7895151,-6449786,-6383477,-6579569,-6776176,-6908016,-7039600,-7237489,-7434613,-6646117,-6513755,-6251633,-6448240,-9539736,-13224139,-9869471,-8619147,-7434356,-7697784,-7434604,-7894638,-6251118,-8684428,-16381686,-15920360,-14541025,-13160144,-12370372,-11909563,-11974580,-11117468,-6251116,-8750475,-16447480,-15854826,-13948889,-12634315,-12172994,-11975358,-12435389,-11709350,-6317163,-6513514,-8749961,-10723749,-9409176,-8421509,-7500147,-8224385,-9079686,-8815740,-6580334,-6448490,-6579562,-6776683,-6974060,-7171439,-7171695,-7303538,-6514274,-6316889,-7172211,-6777966,-6646124,-6711659,-6843244,-7040366,-7172207,-7304050,-7567220,-6974563,-8027004,-7566966,-7435123,-7238258,-7303795,-7435380,-7632758,-7895930,-8422016,-9079430,1
1066,'2019/09/26 10:01:08:930',8,-7831445,-7371145,-7239044,-7238784,-7501183,-7698301,-8027263,-8355969,-8882053,-9802638,-6910851,-6712956,-6712441,-6777461,-7040118,-7171700,-7500662,-7698296,-7896186,-7895152,-6449785,-6383476,-6579570,-6776176,-6908016,-7039855,-7237233,-7434868,-6646118,-6513499,-6317170,-6447983,-9342357,-13026761,-9803679,-8553610,-7434354,-7631991,-7434604,-7828847,-6185581,-8618378,-16316150,-15920617,-14541025,-13094608,-12370116,-11909307,-11974581,-11117468,-6316652,-8684427,-16381687,-15854824,-13949144,-12634315,-12238786,-12041148,-12435389,-11774886,-6382699,-6447978,-8815753,-10789798,-9474969,-8487303,-7500147,-8224641,-9079943,-8947069,-6580334,-6448491,-6579561,-6776683,-6974060,-7171439,-7171694,-7303538,-6514530,-6382681,-7172211,-6777965,-6646123,-6711659,-6842988,-7040366,-7171952,-7303794,-7567221,-6909027,-8027004,-7566966,-7435124,-7238258,-7369331,-7435379,-7632758,-7961466,-8422016,-9079431,1
